length,rank,count,pct,sequence,short
7,3,37,1.22,B:Q16|W:D16|B:Q4|W:D4|B:C3|W:D3|B:C4,Q16·D16·Q4·D4·C3·D3·C4
7,4,35,1.16,B:Q16|W:D4|B:Q4|W:D16|B:C3|W:D3|B:C4,Q16·D4·Q4·D16·C3·D3·C4
7,5,33,1.09,B:R16|W:D16|B:Q3|W:D4|B:P17|W:R5|B:O4,R16·D16·Q3·D4·P17·R5·O4
7,6,32,1.06,B:Q16|W:D4|B:C3|W:D3|B:C4|W:D5|B:B6,Q16·D4·C3·D3·C4·D5·B6
7,7,32,1.06,B:Q16|W:D16|B:Q3|W:D4|B:C3|W:D3|B:C4,Q16·D16·Q3·D4·C3·D3·C4
7,8,29,0.96,B:Q16|W:D4|B:Q3|W:D17|B:C3|W:C4|B:D3,Q16·D4·Q3·D17·C3·C4·D3
7,9,28,0.93,B:Q16|W:D16|B:Q4|W:D3|B:C17|W:C16|B:D17,Q16·D16·Q4·D3·C17·C16·D17
7,10,27,0.89,B:Q16|W:D4|B:Q3|W:D16|B:O17|W:R5|B:O4,Q16·D4·Q3·D16·O17·R5·O4
7,11,27,0.89,B:Q16|W:D4|B:Q4|W:D17|B:C3|W:C4|B:D3,Q16·D4·Q4·D17·C3·C4·D3
7,12,25,0.83,B:R16|W:D16|B:C4|W:Q4|B:F3|W:P17|B:Q14,R16·D16·C4·Q4·F3·P17·Q14
7,13,24,0.79,B:R16|W:D16|B:Q3|W:D3|B:C17|W:C16|B:D17,R16·D16·Q3·D3·C17·C16·D17
7,14,22,0.73,B:R16|W:D16|B:Q3|W:D4|B:P17|W:R5|B:P4,R16·D16·Q3·D4·P17·R5·P4
7,15,22,0.73,B:R16|W:D16|B:Q3|W:D4|B:O16|W:R5|B:O4,R16·D16·Q3·D4·O16·R5·O4
7,16,21,0.69,B:Q16|W:D16|B:R4|W:D3|B:C5|W:C4|B:D5,Q16·D16·R4·D3·C5·C4·D5
