game_id,n_moves,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,move_9,move_10,move_11,move_12,move_13,move_14,move_15,move_16,move_17,move_18,move_19,move_20,move_21,move_22,move_23,move_24,move_25,move_26,move_27,move_28,move_29,move_30,sequence
3bds-gokifu-20220112-Kim_Jiseok-Li_Xuanhao,30,B:Q16,W:D4,B:Q3,W:D17,B:Q6,W:C14,B:F3,W:K4,B:C3,W:D3,B:C4,W:D5,B:D2,W:E2,B:C2,W:F2,B:C6,W:G3,B:O17,W:O3,B:L4,W:L5,B:M4,W:O5,B:K3,W:J4,B:P4,W:O4,B:M5,W:M2,B:Q16|W:D4|B:Q3|W:D17|B:Q6|W:C14|B:F3|W:K4|B:C3|W:D3|B:C4|W:D5|B:D2|W:E2|B:C2|W:F2|B:C6|W:G3|B:O17|W:O3|B:L4|W:L5|B:M4|W:O5|B:K3|W:J4|B:P4|W:O4|B:M5|W:M2
3be5-gokifu-20220113-Lee_Donghoon-Peng_Liyao,30,B:Q16,W:D4,B:Q3,W:D17,B:C3,W:D3,B:C4,W:D5,B:B6,W:C14,B:Q5,W:O17,B:R14,W:K4,B:P17,W:O16,B:J17,W:G17,B:P13,W:L16,B:K15,W:M14,B:D15,W:C15,B:D16,W:C16,B:E17,W:D18,B:G16,W:F16,B:Q16|W:D4|B:Q3|W:D17|B:C3|W:D3|B:C4|W:D5|B:B6|W:C14|B:Q5|W:O17|B:R14|W:K4|B:P17|W:O16|B:J17|W:G17|B:P13|W:L16|B:K15|W:M14|B:D15|W:C15|B:D16|W:C16|B:E17|W:D18|B:G16|W:F16
3be6-gokifu-20220113-Kang_Dongyun-Chen_Zhengxun,30,B:Q16,W:D4,B:C3,W:D3,B:C4,W:D5,B:B6,W:R4,B:C16,W:O3,B:R14,W:E17,B:H17,W:D15,B:D16,W:E16,B:E15,W:D14,B:F15,W:C18,B:B14,W:C13,B:B18,W:D18,B:G16,W:B13,B:B16,W:B19,B:A17,W:G18,B:Q16|W:D4|B:C3|W:D3|B:C4|W:D5|B:B6|W:R4|B:C16|W:O3|B:R14|W:E17|B:H17|W:D15|B:D16|W:E16|B:E15|W:D14|B:F15|W:C18|B:B14|W:C13|B:B18|W:D18|B:G16|W:B13|B:B16|W:B19|B:A17|W:G18
3be7-gokifu-20220113-Huang_Yunsong-Fan_Yin,30,B:Q16,W:D4,B:Q3,W:D17,B:O17,W:R5,B:O4,W:Q9,B:C15,W:C13,B:E16,W:D16,B:D15,W:E15,B:E14,W:F15,B:D13,W:G16,B:D11,W:D10,B:C10,W:C9,B:C11,W:B16,B:B15,W:S15,B:S16,W:O18,B:R15,W:N17,B:Q16|W:D4|B:Q3|W:D17|B:O17|W:R5|B:O4|W:Q9|B:C15|W:C13|B:E16|W:D16|B:D15|W:E15|B:E14|W:F15|B:D13|W:G16|B:D11|W:D10|B:C10|W:C9|B:C11|W:B16|B:B15|W:S15|B:S16|W:O18|B:R15|W:N17
3be8-gokifu-20220113-Mao_Ruilong-Kim_Jiseok,30,B:R16,W:D4,B:Q3,W:D16,B:R6,W:P17,B:Q15,W:M17,B:C17,W:D17,B:C16,W:D15,B:B14,W:F3,B:G4,W:Q4,B:P4,W:R3,B:R4,W:Q5,B:R5,W:P3,B:Q2,W:O4,B:P5,W:Q6,B:O3,W:R7,B:S7,W:P6,B:R16|W:D4|B:Q3|W:D16|B:R6|W:P17|B:Q15|W:M17|B:C17|W:D17|B:C16|W:D15|B:B14|W:F3|B:G4|W:Q4|B:P4|W:R3|B:R4|W:Q5|B:R5|W:P3|B:Q2|W:O4|B:P5|W:Q6|B:O3|W:R7|B:S7|W:P6
3be9-gokifu-20220113-Mi_Yuting-Ke_Jie,30,B:Q16,W:D16,B:Q4,W:D3,B:C5,W:E4,B:F17,W:C14,B:O17,W:O3,B:Q6,W:C8,B:P3,W:J4,B:O4,W:S15,B:R14,W:R15,B:Q15,W:S14,B:R13,W:R17,B:Q17,W:R18,B:F15,W:D18,B:K16,W:S6,B:G5,W:F5,B:Q16|W:D16|B:Q4|W:D3|B:C5|W:E4|B:F17|W:C14|B:O17|W:O3|B:Q6|W:C8|B:P3|W:J4|B:O4|W:S15|B:R14|W:R15|B:Q15|W:S14|B:R13|W:R17|B:Q17|W:R18|B:F15|W:D18|B:K16|W:S6|B:G5|W:F5
3bep-gokifu-20220119-Gu_Zihao-Fan_Yin,30,B:Q16,W:D4,B:Q4,W:D17,B:C15,W:C13,B:E16,W:D16,B:D15,W:E15,B:E14,W:F15,B:D13,W:G16,B:D11,W:D10,B:E10,W:E9,B:C10,W:D9,B:C9,W:B16,B:B15,W:C8,B:B8,W:B7,B:C7,W:D8,B:B6,W:C11,B:Q16|W:D4|B:Q4|W:D17|B:C15|W:C13|B:E16|W:D16|B:D15|W:E15|B:E14|W:F15|B:D13|W:G16|B:D11|W:D10|B:E10|W:E9|B:C10|W:D9|B:C9|W:B16|B:B15|W:C8|B:B8|W:B7|B:C7|W:D8|B:B6|W:C11
3beq-gokifu-20220119-Lian_Xiao-Xia_Chenkun,30,B:Q16,W:D16,B:C17,W:C16,B:D17,W:E16,B:F18,W:D3,B:Q3,W:C6,B:R6,W:R17,B:Q17,W:R16,B:R14,W:R15,B:Q15,W:S14,B:D12,W:H15,B:C8,W:G17,B:G18,W:C10,B:D10,W:D11,B:C11,W:E11,B:B10,W:C12,B:Q16|W:D16|B:C17|W:C16|B:D17|W:E16|B:F18|W:D3|B:Q3|W:C6|B:R6|W:R17|B:Q17|W:R16|B:R14|W:R15|B:Q15|W:S14|B:D12|W:H15|B:C8|W:G17|B:G18|W:C10|B:D10|W:D11|B:C11|W:E11|B:B10|W:C12
3ber-gokifu-20220119-Xie_Ke-Lee_Donghoon,30,B:Q16,W:D4,B:Q3,W:D17,B:C3,W:D3,B:C4,W:D5,B:B6,W:C14,B:O17,W:R5,B:Q8,W:P4,B:Q4,W:Q5,B:P5,W:P3,B:P2,W:O2,B:Q2,W:P6,B:O5,W:N4,B:S4,W:R4,B:R3,W:S5,B:O7,W:S3,B:Q16|W:D4|B:Q3|W:D17|B:C3|W:D3|B:C4|W:D5|B:B6|W:C14|B:O17|W:R5|B:Q8|W:P4|B:Q4|W:Q5|B:P5|W:P3|B:P2|W:O2|B:Q2|W:P6|B:O5|W:N4|B:S4|W:R4|B:R3|W:S5|B:O7|W:S3
3bes-gokifu-20220119-Ding_Hao-Li_Qincheng,30,B:Q16,W:D16,B:D4,W:Q4,B:R3,W:R4,B:Q3,W:O3,B:P3,W:P4,B:O2,W:C3,B:D3,W:C4,B:D5,W:C5,B:C7,W:N3,B:N2,W:M3,B:C6,W:D2,B:E2,W:C2,B:C14,W:R14,B:Q10,W:S16,B:R12,W:R13,B:Q16|W:D16|B:D4|W:Q4|B:R3|W:R4|B:Q3|W:O3|B:P3|W:P4|B:O2|W:C3|B:D3|W:C4|B:D5|W:C5|B:C7|W:N3|B:N2|W:M3|B:C6|W:D2|B:E2|W:C2|B:C14|W:R14|B:Q10|W:S16|B:R12|W:R13
